Repository,Fix Commit SHA,Tests Changes in Fix,BIC Commit SHA,Tests Changes in BIC
JabRef/jabref,87332ae7c08c76cf950efb6cb739137744ff561c,No,-,-
JabRef/jabref,86d52cd6468335d9e460aaacc870aa5088c62431,No,7f4c36c03629498db8e56281906241a82846e1e3,No
JabRef/jabref,e41c1f2ef935d26f60c7cf45b7a940d4c7711b18,No,82adb112722b1bf5b5301360651beb051b01f94d,No
JabRef/jabref,8ff0ae6927ebc53081960c1f78a7470013aed4b4,No,c9415ff4ae25c86142e7a281b1585be3f9ea1196,No
JabRef/jabref,f3d03a87ff48c1b1ae51569beda07a2b3b114fb4,No,d281ece4b5a96d6101cbea5f3475d0d8e19f75c8,No
JabRef/jabref,fa8cc829727ffddd97a9056fd466e7098577f4d7,No,-,-
JabRef/jabref,6c0d6ed66a47eb4e5a522db725c5973fc2dc3fa7,No,89ee88513c0012a776afa5d7dc5af14e01e36852,No
JabRef/jabref,7bc676699929c6e6c5da1e948e6f3154fcc38c9a,No,4f213f71e2644847adc03b0d3df94a1a9987e197,No
JabRef/jabref,d7dd41b0022978b9db958505cf6031768cf2cd8c,No,31e6797d8a1d0827180b0b54ea4a8b5fef936a59,No
JabRef/jabref,059f805e64da6ae3966aec018e81f908f54b5ed9,No,91d19f9fa66d2f6cf275d38c66fe27c48549ae02,No
JabRef/jabref,61d5f4e23db0bd5775df26eb3e3b7b0852e7bae6,No,-,-
JabRef/jabref,aa3657cacf9697a1236969336d1bf1ff9258ef8f,No,b411cfbb1c60af09052e17d1780f1cdb770bc4ef,No
JabRef/jabref,09c0f59456ecefc0c56825608dc09100d82b581e,No,fd1cab0eb1ed51261049b7799584b060dbe46755,No
JabRef/jabref,8adb3a425373a6c16ea61a0022b2401dd9b1c514,No,67f67a15419466ab566e4822af2561cafb61b9aa,No
JabRef/jabref,2dc0d5b22ef334d9c8759951f35a1d9313b609c6,No,-,-
JabRef/jabref,2b886cb719b0954127dc8d748b287adb3348958a,No,5b0b66423f48ae1395407f972dfb9d44d39abefb,No
JabRef/jabref,007a534d0db7032a77260aa492e15523d44512d9,No,-,-
JabRef/jabref,d710c9a1f767ec589bcb15664c7511afe49931e8,No,-,-
JabRef/jabref,0ee2090ad3e056a85a88913fb15131567bc8c8b7,No,-,-
JabRef/jabref,1207a84ba47a2f4d58f10d260ad7b95feeb6593f,No,0a09e2c32b8402bcc8a61484220cdb49858310a9,No
JabRef/jabref,ef7f8248b0120a22313e32386145db7b7a77cc28,No,-,-
JabRef/jabref,07712ce29338056ba22b24f0de0226ea2c5db7e1,No,05a02110aadc81b70ed172c8c93141c4a87df8b8,No
JabRef/jabref,35cd5d03e106c102b9d2aad3dbd54038ddc2728a,No,f568e4dbde5de6c5d3ed39af73d02d2b910a1930,No
JabRef/jabref,7402fde22be7e33c1c3d7c05dc0c2274d4f61e74,No,67583d9be2926223d069ccf39fdb41111ae67c2d,No
JabRef/jabref,2606f9ad3df7143f03bb7872724123a24e87ecf2,No,9398c3e1c5a5d92ca8f54e9f2a0213b85958d382,No
JabRef/jabref,fdb93f5de5730e389bf2d4a353b2cc0c6db4a7df,No,0bd8240dd0a814c6799f1a95bea1ebfa67799414,No
JabRef/jabref,a3762873d8a0272b41e0415a0a48a59a1225e7b4,No,8a9aca1ac5a2c0c072f80264e3226742d357c19d,No
JabRef/jabref,bc633dce965266719581d079b276bc8508c5fa83,No,e38c3262b82928b05680103cfd030baf05c4a201,No
JabRef/jabref,f4926ca51f4d1cd71ba334758592215170db02f4,No,2a3c71f6d058bb67900b9e430772956613995a22,No
JabRef/jabref,5d23970cc55b250b8e430ec202d10bffad4b04a3,No,57110ef7bdd582184bca297dcb1315dffe00f52c,No
JabRef/jabref,ee4f252428bf5ac5030ff8391a98b1c648b03801,No,d938a3e7e8d7437a56ead235b254ab60ff537834,No
JabRef/jabref,fae0964caf10b6d07ba50859e4915465788caf03,No,a2eb30330fedc21043fd850a1313132503e1067a,No
JabRef/jabref,19ab05ecd3163f0c0e8967b42d260a413dd91984,No,c1c8c760d9f09067c54a639726afb2577ed52746,No
JabRef/jabref,f0d79f87657b039b738a8157ebdc951414494421,No,80e8abac28117bbb3eca0f3d6ab87a6f6923dc61,No
JabRef/jabref,c3f60f813a9b28ab9b4e316a1d0aae46b67d2d8c,No,981b14d3cc7b2590f5fe55d526e9d901f5faa5e8,No
JabRef/jabref,73ec321895fb07e131bfd3cc560d0d8f4214cf3c,No,612d64e7fc915287342c7cbc3772f204faab42d3,No
JabRef/jabref,c9874ec9fcdf2005edb636d1d30d92a667bb1f13,No,3d4b5104d19aa185280171a64f96c2c1ad27b5cb,No
JabRef/jabref,f17eb403475b08d600c6b67233f42747e5b05e5c,No,89ee88513c0012a776afa5d7dc5af14e01e36852,No
JabRef/jabref,3d790e215cb0be23d96bcf4d2b73de23eb0abf07,No,-,-
JabRef/jabref,e26d9ab9a7e47b2818c8eafd2e08de5808d6ce98,No,43e61386daeba08507a4d087eb7918b33b715b07,No
JabRef/jabref,6a7139566b555903daafa2913d10431a5f02d704,No,dd13184e76610c12f1482af7790e4b13378a4ccc,No
